Timestamp,Frame,Detection_ID,X_m,Y_m,Z_m,Roll_rad,Pitch_rad,Yaw_rad,Qx,Qy,Qz,Qw,Confidence,Num_Points,Gimbal_Lock,Processing_Time_ms
2026-02-26T13:51:36.166473,2,13,0.333073,1.170869,0.226180,0.000000,-1.552027,1.540555,0.487204,0.511665,0.497511,-0.503304,0.8730,1406524,Y,502.26
2026-02-26T13:51:36.166562,2,14,0.339842,1.170679,0.213380,0.000000,-1.497969,1.539610,0.472370,0.524342,0.511192,-0.490525,0.8726,882116,Y,378.84
2026-02-26T13:51:36.166652,2,15,0.354046,1.169292,0.195465,1.575690,-0.167081,-3.117720,0.050424,0.707015,0.702158,-0.067533,0.8682,243379,N,265.99
2026-02-26T13:51:36.166742,2,16,0.361387,1.166145,0.211649,-1.560874,-0.150414,-3.121982,0.060269,-0.701044,0.709082,0.045915,0.9062,113489,N,235.53
2026-02-26T13:51:36.166840,2,17,0.311041,1.171922,0.295917,1.568933,-1.099514,-3.108601,0.359807,0.608371,0.597307,-0.379009,0.8813,2810592,N,783.75
2026-02-26T13:51:36.166940,2,18,0.332408,1.170875,0.228020,0.000000,-1.556394,1.540686,0.488347,0.510543,0.496453,-0.504378,0.9033,1452260,Y,494.71
2026-02-26T13:51:36.167032,2,20,0.310786,1.171959,0.296839,1.569233,-1.009744,-3.108944,0.332151,0.623907,0.613708,-0.351821,0.8218,2833090,N,773.84
2026-02-26T13:51:46.060911,3,0,0.310266,1.171988,0.298351,1.569773,-0.823049,-3.110024,0.272733,0.652126,0.643860,-0.292902,0.8677,2877772,N,798.14
2026-02-26T13:51:46.061022,3,1,0.342946,1.170443,0.207558,1.526312,-1.429458,-3.065650,0.453480,0.539651,0.528212,-0.473418,0.9048,659255,N,333.17
2026-02-26T13:51:46.061080,3,2,0.333746,1.170867,0.224414,0.000000,-1.547719,1.540445,0.486084,0.512765,0.498551,-0.502236,0.8765,1359906,Y,489.74
2026-02-26T13:51:46.061147,3,3,0.339842,1.170679,0.213380,0.000000,-1.497969,1.539610,0.472370,0.524342,0.511192,-0.490525,0.8872,882116,Y,378.11
2026-02-26T13:51:46.061200,3,4,0.361387,1.166145,0.211649,-1.560874,-0.150414,-3.121982,0.060269,-0.701044,0.709082,0.045915,0.9058,113489,N,236.27
2026-02-26T13:51:46.061254,3,5,0.332408,1.170875,0.228020,0.000000,-1.556394,1.540686,0.488347,0.510543,0.496453,-0.504378,0.8237,1452260,Y,487.21
2026-02-26T13:51:46.061366,3,6,0.316968,1.170160,0.263745,0.000000,1.472805,1.541092,0.468360,0.532023,-0.515616,0.481384,0.7339,2175000,Y,670.35
2026-02-26T13:51:46.061443,3,7,0.339223,1.170720,0.214507,0.000000,-1.505760,1.539537,0.474513,0.522627,0.509159,-0.492398,0.8862,927866,Y,383.30
2026-02-26T13:51:46.061496,3,9,0.337287,1.170796,0.217781,0.000000,-1.523089,1.539674,0.479331,0.518717,0.504678,-0.496462,0.8799,1068201,Y,420.14
2026-02-26T13:51:46.061553,3,10,0.359863,1.167019,0.208144,1.577883,-0.151972,-3.120869,0.046154,0.708076,0.701968,-0.061145,0.8965,138013,N,245.06
